1_id	1_span	1_anno_scriptorium::func	1_anno_scriptorium::lemma	1_anno_scriptorium::norm	1_anno_scriptorium::pos	2_id	2_span	2_anno_scriptorium::func	2_anno_scriptorium::lemma	2_anno_scriptorium::norm	2_anno_scriptorium::pos
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan72		nsubj	ⲛⲧⲟϥ	ϥ	PPERS	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan74		advcl	ⲕⲧⲟ	ⲕⲧⲟ	V	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan76		obj	ⲛⲧⲟϥ	ϥ	PPERO	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan78	ⲉ̇	case	ⲉ	ⲉ	PREP	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan86	⸱	punct	,	,	PUNCT
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan90		aux	ⲁ	ⲁ	APST
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan94		nsubj	ⲛⲧⲟⲟⲩ	ⲩ	PPERS
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan96		root	ϫⲛⲟⲩ	ϫⲛⲟⲩ	V
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan82		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan98		obj	ⲛⲧⲟϥ	ϥ	PPERO
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan2		aux	ⲁ	ⲁ	APST	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan13		nsubj	ⲛⲧⲟⲟⲩ	ⲩ	PPERS	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan15		root	ϫⲱ	ϫⲟⲟ	V	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan17		obj	ⲛⲧⲟⲥ	ⲥ	PPERO	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan19	ϩⲛ̇	case	ϩⲛ	ϩⲛ	PREP	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan25	ⲉⲧ̇ ⲃⲉ	case	ⲉⲧⲃⲉ	ⲉⲧⲃⲉ	PREP
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan31		obl	ⲁⲡⲁ	ⲁⲡⲁ	N
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan34		flat	ⲇⲁⲛⲓⲏⲗ	ⲇⲁⲛⲓⲏⲗ	NPROP
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan23		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan38		punct	.	.	PUNCT
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan41		obl	ⲟⲩⲟⲉⲓϣ	ⲟⲩⲟⲉⲓϣ	N	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
