1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_version_date	1_meta_version_n	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
61120831	ϫⲉ	mark	ϫⲉ	ϫⲉ	CONJ	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120836	ⲉⲕϣⲁⲛ	nsubj	ⲉⲣϣⲁⲛ_ⲛⲧⲟⲕ	ⲉⲕϣⲁⲛ	ACOND_PPERS	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120839	ⲃⲱⲕ	ccomp	ⲃⲱⲕ	ⲃⲱⲕ	V	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120843	ⲉ	case	ⲉ	ⲉ	PREP	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61120852	ⲧⲁϣⲉ ⲟⲉⲓϣ	parataxis	ⲧⲁϣⲉⲟⲉⲓϣ	ⲧⲁϣⲉⲟⲉⲓϣ	V
61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61120860	ⲙ̅	case	ⲛ	ⲙ	PREP
61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61120865	ⲡⲁ	det	ⲡⲁ	ⲡⲁ	PPOS
61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61120869	ⲣ̅ ⲡ ⲙⲉⲉⲩⲉ	obl	ⲣⲡⲙⲉⲉⲩⲉ	ⲣⲡⲙⲉⲉⲩⲉ	N
61122371	ⲃⲱⲕ	root	ⲃⲱⲕ	ⲃⲱⲕ	V	life.onnophrius.03	2019-09-30	3.0.0	61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61122378	ⲛⲁ	case	ⲛⲁ	ⲛⲁ	PREP	life.onnophrius.03	2019-09-30	3.0.0	61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61122383	ⲕ	obl	ⲛⲧⲟⲕ	ⲕ	PPERO	life.onnophrius.03	2019-09-30	3.0.0	61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61122386	ⲉⲃⲟⲗ	case	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	ADV	life.onnophrius.03	2019-09-30	3.0.0	61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61122391	ⲉ	fixed	ⲉ	ⲉ	PREP	life.onnophrius.03	2019-09-30	3.0.0	61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61122400	ⲱ̅	discourse	ⲱ	ⲱ	PTC
61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61122405	ⲡⲁ	det	ⲡⲁ	ⲡⲁ	PPOS
61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61122410	ϣⲏⲣⲉ	vocative	ϣⲏⲣⲉ	ϣⲏⲣⲉ	N
61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61122413	ⲛ	aux	ⲛⲧⲉ	ⲛ	ACONJ
61122396	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61122418	ⲅ̅	nsubj	ⲛⲧⲟⲕ	ⲅ	PPERS
61125985	ⲧⲱⲟⲩⲛ	root	ⲧⲱⲟⲩⲛ	ⲧⲱⲟⲩⲛ	V	life.onnophrius.03	2019-09-30	3.0.0	61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61125990	ⲛ	aux	ⲛⲧⲉ	ⲛ	ACONJ	life.onnophrius.03	2019-09-30	3.0.0	61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61125995	ⲅ̅	nsubj	ⲛⲧⲟⲕ	ⲅ	PPERS	life.onnophrius.03	2019-09-30	3.0.0	61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61125998	ⲃⲱⲕ	advcl	ⲃⲱⲕ	ⲃⲱⲕ	V	life.onnophrius.03	2019-09-30	3.0.0	61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61126002	ⲉ	case	ⲉ	ⲉ	PREP	life.onnophrius.03	2019-09-30	3.0.0	61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61126011	·	punct	·	·	PUNCT
61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61126016	ⲛ	aux	ⲛⲧⲉ	ⲛ	ACONJ
61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61126021	ⲅ̅	nsubj	ⲛⲧⲟⲕ	ⲅ	PPERS
61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61126024	ϫⲱ	advcl	ϫⲱ	ϫⲱ	V
61126008	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61126027	ⲛ̅	case	ⲛ	ⲛ	PREP
61128466	ⲛ̅	det	ⲡ	ⲛ	ART	life.onnophrius.04	2019-09-30	3.0.0	61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61128471	ⲣⲙ̅	root	ⲣⲙ	ⲣⲙ	N	life.onnophrius.04	2019-09-30	3.0.0	61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61128474	ⲟⲩ	det	ⲟⲩ	ⲟⲩ	ART	life.onnophrius.04	2019-09-30	3.0.0	61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61128480	ⲡⲟⲗⲓⲥ	nsubj	ⲡⲟⲗⲓⲥ	ⲡⲟⲗⲓⲥ	N	life.onnophrius.04	2019-09-30	3.0.0	61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61128484	ⲛ̅ⲧⲉ	case	ⲛⲧⲉ	ⲛⲧⲉ	PREP	life.onnophrius.04	2019-09-30	3.0.0	61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61128492	ϫⲉ	mark	ϫⲉ	ϫⲉ	CONJ
61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61128497	ⲡⲙ̅ϫⲉ	ccomp	ⲡⲙϫⲉ	ⲡⲙϫⲉ	NPROP
61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61128500	·	punct	·	·	PUNCT
61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61128505	ⲛⲉⲛ	det	ⲡⲉⲛ	ⲛⲉⲛ	PPOS
