Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
ⲓⲥⲣⲁⲏⲗ	1	18	8.3549944E-4	NaN	NaN	0.0016709989
ⲗⲁⲁⲩ	1	18	8.3549944E-4	NaN	NaN	0.0016709989
ⲡⲉⲓ	1	18	8.3549944E-4	NaN	NaN	0.0016709989
ⲙⲙⲁⲩ	1	17	7.890828E-4	NaN	NaN	0.0015781656
ⲥⲙⲟⲩ	1	17	7.890828E-4	NaN	NaN	0.0015781656
ϣⲁ	1	16	7.426662E-4	NaN	NaN	0.0014853324
ⲛⲥⲁ	1	16	7.426662E-4	NaN	NaN	0.0014853324
ⲡⲟⲩ	1	16	7.426662E-4	NaN	NaN	0.0014853324
ⲥⲁⲟⲩⲗ	1	16	7.426662E-4	NaN	NaN	0.0014853324
ⲕⲧⲟ	1	15	6.9624954E-4	NaN	NaN	0.0013924991
ϣⲁⲣⲉ	1	14	6.498329E-4	NaN	NaN	0.0012996658
ϩⲁ	1	14	6.498329E-4	NaN	NaN	0.0012996658
ⲛⲁⲩ	1	14	6.498329E-4	NaN	NaN	0.0012996658
ⲡⲟⲗⲓⲥ	1	14	6.498329E-4	NaN	NaN	0.0012996658
ⲣⲟ	1	14	6.498329E-4	NaN	NaN	0.0012996658
ⲥⲱⲧⲙ	1	14	6.498329E-4	NaN	NaN	0.0012996658
ⲧⲣⲉ	1	14	6.498329E-4	NaN	NaN	0.0012996658
ⲕⲏⲙⲉ	1	13	6.0341624E-4	NaN	NaN	0.0012068325
ϣⲁϫⲉ	1	12	5.5699964E-4	NaN	NaN	0.0011139993
ϩⲓϫⲛ	1	12	5.5699964E-4	NaN	NaN	0.0011139993
ⲉⲕⲉ	1	12	5.5699964E-4	NaN	NaN	0.0011139993
ⲛⲟϭ	1	12	5.5699964E-4	NaN	NaN	0.0011139993
ⲟⲩⲁ	1	12	5.5699964E-4	NaN	NaN	0.0011139993
ⲟⲩⲱⲙ	1	12	5.5699964E-4	NaN	NaN	0.0011139993
ⲥϩⲓⲙⲉ	1	12	5.5699964E-4	NaN	NaN	0.0011139993
ϣⲓⲛⲉ	1	11	5.10583E-4	NaN	NaN	0.001021166
ⲉϣⲱⲡⲉ	1	11	5.10583E-4	NaN	NaN	0.001021166
ⲙⲟⲩ	1	11	5.10583E-4	NaN	NaN	0.001021166
ⲙⲟⲩⲧⲉ	1	11	5.10583E-4	NaN	NaN	0.001021166
ⲛⲛⲉ	1	11	5.10583E-4	NaN	NaN	0.001021166
ⲧⲙ	1	11	5.10583E-4	NaN	NaN	0.001021166
ϭⲉ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲁⲣⲭⲱⲛ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲉⲣⲉ_ⲛⲧⲟϥ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲕⲉ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲙⲏⲧⲉ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲙⲛⲧϩⲙϩⲁⲗ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲙⲟⲟϣⲉ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲛⲟⲩϫⲉ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ⲟⲛ	1	10	4.6416637E-4	NaN	NaN	9.2833274E-4
ϩⲙⲟⲟⲥ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ϩⲱⲛ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ϫⲟⲟⲩ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ⲁϣ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ⲉⲣⲁⲧ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ⲗⲁⲟⲥ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ⲛⲧⲉⲣⲉ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ⲧⲁⲕⲟ	1	9	4.1774972E-4	NaN	NaN	8.3549944E-4
ϣⲧⲉⲕⲟ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ϩⲏⲧ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
