Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
ϩⲁⲗⲁⲥⲥⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲁⲡ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲏⲃⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲓⲣ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲓⲥⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲓⲧⲟⲟⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲟϥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲟⲙⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲟⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲟⲧⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲣⲟϣ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲣⲟⲟⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲧⲏϥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲱⲃ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲱⲡ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲱⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲱⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϫⲓⲥⲙⲟⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϫⲱϩⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϫⲱⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϭⲉⲡⲏ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϭⲓⲃⲱⲧⲟⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϭⲟⲓⲗⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϭⲱϣⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϭⲱⲛⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϯⲙⲧⲟⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁϩⲉⲣⲁⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁϩⲟ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁⲃⲉⲛⲛⲏⲣ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁⲃⲓⲙⲉⲗⲉⲭ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁⲙⲁϩⲧⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁⲙⲓⲛⲁⲇⲁⲃ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁⲛⲟⲙⲓⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁⲥⲡⲁⲍⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲁⲧϩⲏⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲃⲁⲗ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲃⲏⲑⲗⲉⲉⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲓϫⲓⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲓⲙⲏⲧⲓ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲗⲉⲫⲁⲛⲧⲓⲛⲟⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲛⲕⲟⲧⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲣⲏⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲣⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲥⲟⲟⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲧⲉⲧⲛⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲉⲧⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲏⲣⲡ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲏⲥⲁⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲑⲁⲃ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲑⲓⲗⲏⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲑⲣⲟⲛⲟⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲓⲟⲩⲇⲁⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲕⲁⲁⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲕⲁⲕⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲕⲁⲗⲱⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲕⲁⲡⲛⲟⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲕⲗϫⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲕⲟⲩⲓ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲗⲓⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲁⲉⲓⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲁⲣⲓⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲁⲥⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲉⲉⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲉⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲉⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲏⲏϣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲓⲛⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲙⲁⲁⲗⲗⲱⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲙⲉⲥϩⲛⲏⲓ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲙⲓⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲛⲧⲟⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲛⲧⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲛⲧⲣⲙⲙⲁⲟ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲙⲛⲧⲥⲛⲟⲟⲩⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲁϣⲧⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲁϩⲧⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲁⲃⲏⲥⲁⲗⲱⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲁⲛⲟⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲁⲣⲭⲁⲃⲉⲓⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲁⲥⲙⲛⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲇⲁⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲉⲗⲓⲥⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲑⲓⲗⲏⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲓⲱⲁⲃ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲕⲉⲇⲣⲓⲛⲟⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲕⲟⲧⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲛⲁϩⲣⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲟⲛⲏⲥⲓⲫⲟⲣⲟⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲣⲉϥϫⲟⲕϫⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲣⲣⲙⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲥⲏⲗⲱ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲛⲥⲩⲙⲉⲱⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩϣⲏ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩϩⲟⲟⲡ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩⲉϩⲥⲁϩⲛⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩⲏⲏⲃ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩⲛⲧⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩⲟⲉⲓ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩⲱ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩⲱϣⲃ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲟⲩⲱϫⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲡⲃⲁⲕϣⲁⲁⲣ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲡⲉⲧⲣⲟⲥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲡⲓⲏⲗ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲡⲱⲣϫ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲡⲱⲱⲛⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲣϣⲡⲏⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲣⲉϥϫⲓⲟⲩⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲣⲙⲁⲑⲁⲉⲓⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲣⲙⲛⲧⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲣⲡⲃⲟⲗ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲁϩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲁⲗⲓⲥⲓⲏⲗ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲁⲙⲟⲩⲏⲗ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲃⲃⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲉⲥⲟⲃⲉⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲏⲗⲱ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲓⲕⲓⲙⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲟⲃⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲟⲃⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲟⲫⲓⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲧⲉⲫⲁⲛⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲱϣ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲱϣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲱⲃϩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲱⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲥⲱⲣⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲁϥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲁϫⲣⲟ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲁⲙⲟ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲁⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲃⲃⲟ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲃⲛⲏ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲏⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲓⲟⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲟⲟⲩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲣⲩⲫⲏ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲱϩ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲧⲱⲣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲭⲏⲣⲁ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲱϫⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲱⲛⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲱⲣϫ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲱⲣⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ⲱⲥⲕ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
1_anno_scriptorium:lemma	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲁϩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲁⲁⲣⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲁⲛⲉⲧⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲁⲛⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲁⲧⲉⲙ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲁⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲁⲩⲗⲱϫϩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲃⲉⲉⲣ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲃⲏⲣ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲏⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲏⲙ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲏⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲓⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲕⲟⲗ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲗⲟϥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲛⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟϫⲛⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲉⲓϣ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲙⲧ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲙⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲩϣⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲩϣⲧ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲩϩⲏⲛⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲩⲟ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲩⲥⲟⲟⲩϣⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲟⲩⲱⲃⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲱ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϣⲱⲙⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥϣⲉⲉⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥϩⲗⲟⲩⲗⲱⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥϭⲟⲧϩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥⲓⲡⲣⲟⲟⲩϣ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥⲟⲩⲟⲙⲧ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥⲣⲟⲕ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥⲧⲟⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥⲧⲥⲁⲃⲏⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϥⲱⲉⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲁϩⲧⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲁⲗⲗⲟⲩⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲁⲙⲏⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲁⲡⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲃⲥⲱ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲉⲑⲛⲟⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲉⲗⲗⲏⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲉⲗⲡⲓⲍⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲉⲗⲡⲓⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲉⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲉⲛⲧⲉⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲏ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲏⲃⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲏⲗⲉⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲓϩⲏ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲓⲃⲟⲗ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲓⲉⲣⲟⲃⲟⲁⲗ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲓⲟⲩⲧⲟϭⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲓⲱⲧ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲗⲗⲟ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲙⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲛⲁⲁⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲛⲁⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲛⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲛⲣⲙⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲛⲥⲏⲗⲱ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲟⲉⲓⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲟⲓⲛⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲟⲙⲟⲗⲟⲅⲉⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲟⲟⲕⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲟⲩⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲣϣⲓⲣⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲣⲁⲁⲃ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲣⲁⲭⲏⲗ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲣⲟⲩⲃⲏ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲱϥⲧ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲱⲃⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲱⲣ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲱⲥⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲱⲱ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϩⲱⲱ_ⲁⲛⲟⲕ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲁϫ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲁϫⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲁⲥϥⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲁⲥⲓϩⲏⲧ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲉⲛⲉⲡⲱⲣ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲉⲥⲧ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲓⲁⲉⲓⲕ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲓⲟⲩⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲓⲣⲱⲙⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲟ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲟⲉⲓⲥⲉⲃⲟⲗ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲟⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲟⲩⲱⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲡ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲣⲟ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲱϩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϫⲱⲙ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲓⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲓⲛϭⲗⲱ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲓⲛⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲗⲓⲗ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲗⲟϭ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲙⲡ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲛⲉⲓⲇⲱⲗⲟⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲛⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲟⲙ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲟⲣϭⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲟⲣⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲟⲧⲡ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲱⲃ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲱⲗⲡ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲱⲙ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲱⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϭⲱⲣϭ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϯϩⲁⲡ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϯⲉⲟⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϯⲛⲁ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϯⲛⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϯⲟⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϯⲡⲉϥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ϯⲥⲃⲱ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁϣⲁϩⲟⲙ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁϣⲁⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁϥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁϥⲧⲃⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁϩⲣⲟ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁϭⲣⲏⲛ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲃⲓⲁⲑⲁⲣ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲅⲁⲑⲟⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲇⲱⲛⲁⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲉⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲉⲓⲟ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲉⲣⲁⲥⲧⲟⲥ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲑⲉⲧⲉⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲓⲣϩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲓⲭⲙⲁⲗⲱⲧⲓⲍⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲕⲉⲣⲣⲣⲟ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲕⲩⲗⲁ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲗⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲙⲛⲧⲉ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲛⲁϫⲓϫⲉⲉⲩ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
ⲁⲛⲁⲓ	1	1	4.6416637E-5	NaN	NaN	9.2833274E-5
