1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lang	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
52031077	ϩⲓⲟⲩⲉ	parataxis	'NULL'	ϩⲓⲟⲩⲉ	ϩⲓⲟⲩⲉ	V	40_Matthew_07	52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031080	ⲉϩⲟⲩⲛ	advmod	'NULL'	ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	ADV	40_Matthew_07	52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031085	ϩⲙ	case	'NULL'	ϩⲛ	ϩⲙ	PREP	40_Matthew_07	52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031090	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_07	52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031098	ⲉⲧ	mark	'NULL'	ⲉⲧⲉⲣⲉ	ⲉⲧ	CREL
52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031103	ⲙⲙⲁⲩ	acl	'NULL'	ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	ADV
52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031106	ⲁⲩⲱ	cc	'NULL'	ⲁⲩⲱ	ⲁⲩⲱ	CONJ
52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031111	ⲙ	case	'NULL'	ⲛ	ⲙ	PREP
52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031116	ⲡⲉϥ	det	'NULL'	ⲡⲉϥ	ⲡⲉϥ	PPOS
52031291	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST	40_Matthew_07	52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031294	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS	40_Matthew_07	52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031297	ⲕⲱⲧ	acl	'NULL'	ⲕⲱⲧ	ⲕⲱⲧ	V	40_Matthew_07	52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031300	ⲙ	case	'NULL'	ⲛ	ⲙ	PREP	40_Matthew_07	52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031305	ⲡⲉϥ	det	'NULL'	ⲡⲉϥ	ⲡⲉϥ	PPOS	40_Matthew_07	52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031311	ϩⲓϫⲙ	case	'NULL'	ϩⲓϫⲛ	ϩⲓϫⲙ	PREP
52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031316	ⲡ	det	'NULL'	ⲡ	ⲡ	ART
52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031321	ϣⲱ	nmod	'NULL'	ϣⲱ	ϣⲱ	N
52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031324	.	punct	'NULL'	.	.	PUNCT
52031308	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031330	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52031415	ⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲩ	PPERS	40_Matthew_07	52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031418	ϩⲓⲟⲩⲉ	parataxis	'NULL'	ϩⲓⲟⲩⲉ	ϩⲓⲟⲩⲉ	V	40_Matthew_07	52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031421	ⲉϩⲟⲩⲛ	advmod	'NULL'	ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	ADV	40_Matthew_07	52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031426	ϩⲙ	case	'NULL'	ϩⲛ	ϩⲙ	PREP	40_Matthew_07	52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031431	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_07	52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031439	ⲉⲧ	mark	'NULL'	ⲉⲧⲉⲣⲉ	ⲉⲧ	CREL
52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031444	ⲙⲙⲁⲩ	acl	'NULL'	ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	ADV
52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031447	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031452	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS
52031436	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52031455	ϩⲉ	parataxis	'NULL'	ϩⲉ	ϩⲉ	V
52032393	ϣⲏⲣⲉ	nsubj	'NULL'	ϣⲏⲣⲉ	ϣⲏⲣⲉ	N	40_Matthew_08	52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52032397	ⲛⲏϫ	ccomp	'NULL'	ⲛⲟⲩϫⲉ	ⲛⲏϫ	VSTAT	40_Matthew_08	52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52032402	ϩⲣⲁⲓ	advmod	'NULL'	ϩⲣⲁⲓ	ϩⲣⲁⲓ	ADV	40_Matthew_08	52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52032407	ϩⲙ	case	'NULL'	ϩⲛ	ϩⲙ	PREP	40_Matthew_08	52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52032413	ⲡⲁ	det	'NULL'	ⲡⲁ	ⲡⲁ	PPOS	40_Matthew_08	52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
