Description,Full URL,Tiny URL,Query,Data download file title ,download settings and parameters
Full corpus query for Sketis,http://corpling.uis.georgetown.edu/annis/scriptorium#_q=bGVtbWE9Is-j4rKT4rKP4rKnIg&ql=aql&_c=YmVzYS5sZXR0ZXJzLHNoZW5vdXRlLmEyMixqb2hhbm5lcy5jYW5vbnMsc2hlbm91dGUuYWJyYWhhbSxzaGVub3V0ZS5lYWdlcm5lc3Msc2hlbm91dGUuZGlydCxzYWhpZGljLm90LGRvcm1pdGlvbi5qb2huLGxpZmUuY3lydXMscHJvY2x1cy5ob21pbGllcyxwc2V1ZG8uZXBocmVtLGxpZmUub25ub3Bocml1cyxhcG9waHRoZWdtYXRhLnBhdHJ1bSxzYWhpZGljYS5udCxzYWhpZGljYS4xY29yaW50aGlhbnMscHNldWRvLnRoZW9waGlsdXMsc2hlbm91dGUuZm94LGxpZmUubG9uZ2ludXMubHVjaXVzLHNhaGlkaWNhLm1hcmssZG9jLnBhcHlyaSxtYXJ0eXJkb20udmljdG9y&cl=5&cr=5&s=0&l=10&_seg=WW0wNWVXSldPVzVqYlRreFkwRQ,https://tinyurl.com/t6pcq7d,"lemma=_""_____""",annis-export-sketis-allcorpora.txt,"simpletext, metakeys=author,title,document_cts_urn,version_n,version_date"
Full corpora query for house,http://corpling.uis.georgetown.edu/annis/scriptorium#_q=bGVtbWE9IuKyj-KykyI&ql=aql&_c=YmVzYS5sZXR0ZXJzLHNoZW5vdXRlLmEyMixqb2hhbm5lcy5jYW5vbnMsc2hlbm91dGUuYWJyYWhhbSxzaGVub3V0ZS5lYWdlcm5lc3Msc2hlbm91dGUuZGlydCxzYWhpZGljLm90LGRvcm1pdGlvbi5qb2huLGxpZmUuY3lydXMscHJvY2x1cy5ob21pbGllcyxwc2V1ZG8uZXBocmVtLGxpZmUub25ub3Bocml1cyxhcG9waHRoZWdtYXRhLnBhdHJ1bSxzYWhpZGljYS5udCxzYWhpZGljYS4xY29yaW50aGlhbnMscHNldWRvLnRoZW9waGlsdXMsc2hlbm91dGUuZm94LGxpZmUubG9uZ2ludXMubHVjaXVzLHNhaGlkaWNhLm1hcmssZG9jLnBhcHlyaSxtYXJ0eXJkb20udmljdG9y&cl=5&cr=5&s=0&l=10&_seg=V1cwd05XVlhTbGRQVnpWcVlsUnJlRmt3UlE,https://tinyurl.com/wjcmpbt,"lemma=_""___""",house-fullcorpora-nov2019.txt,"simpletext, 20 l/r, metakeys=author,title,document_cts_urn,version_n,version_date"
hagiography query for house,http://corpling.uis.georgetown.edu/annis/scriptorium#_q=bGVtbWE9IuKyj-KykyI&ql=aql&_c=bGlmZS5vbm5vcGhyaXVzLGFwb3BodGhlZ21hdGEucGF0cnVtLGxpZmUuY3lydXMsbGlmZS5sb25naW51cy5sdWNpdXMsbWFydHlyZG9tLnZpY3Rvcg&cl=5&cr=5&s=0&l=10&_seg=WW0wNWVXSldPVzVqYlRreFkwRQ,https://tinyurl.com/sud7xw8,"lemma=_""___""",house-hagiography-nov2019.txt,
"Full corpora query for mountain, tagging=gold only",https://corpling.uis.georgetown.edu/annis/scriptorium#_q=bGVtbWE9IuKyp-Kyn-Kyn-KyqSIgQCp0YWdnaW5nPSJnb2xkIg&ql=aql&_c=YXBvcGh0aGVnbWF0YS5wYXRydW0sYmVzYS5sZXR0ZXJzLGRvYy5wYXB5cmksZG9ybWl0aW9uLmpvaG4sam9oYW5uZXMuY2Fub25zLGxpZmUuY3lydXMsbGlmZS5sb25naW51cy5sdWNpdXMsbGlmZS5vbm5vcGhyaXVzLG1hcnR5cmRvbS52aWN0b3IscHJvY2x1cy5ob21pbGllcyxwc2V1ZG8uZXBocmVtLHBzZXVkby50aGVvcGhpbHVzLHNhaGlkaWMub3Qsc2FoaWRpY2EuMWNvcmludGhpYW5zLHNhaGlkaWNhLm1hcmssc2FoaWRpY2EubnQsc2hlbm91dGUuYTIyLHNoZW5vdXRlLmFicmFoYW0sc2hlbm91dGUuZGlydCxzaGVub3V0ZS5lYWdlcm5lc3Msc2hlbm91dGUuZm94&cl=5&cr=5&s=0&l=10&_seg=Ym05eWJWOW5jbTkxY0E,https://tinyurl.com/vbxoezk,"lemma=_""_____"" @*tagging=_""gold_""",annis-export-mountain-goldtagging-nov2019.txt,"simpletext, 20 l/r, metakeys=author,title,document_cts_urn,version_n,version_date"
